SPPARKS (08 Oct 2025)
seed 12345
app_style surface/rxn
solve_style tree

dimension 2
lattice sq/4n 1.0
region box block 0 128 0 128 -0.5 0.5
create_box box
Created box = (0 0 -0.5) to (128 128 0.5)
  1 by 1 by 1 processor grid
create_sites box
Creating sites ...
  16384 sites
  16384 sites have 4 neighbors

# surface species mapping (0 = *, 1 = A*, 2 = B*)
species A 1
species B 2

# initialize lattice
set site value 0
  16384 settings made for site
set site value 1 fraction 0.25 if site = 0
  4048 settings made for site
set site value 2 fraction 0.25 if site = 0
  3148 settings made for site

# gas concentration for k1 c_A
gas A 1.0

# surface diffusion
diffusion A 0.2
diffusion B 0.2

# A* + * -> 2A*   rate = k1 * c_A
reaction A * -> A A 1.0 gas A

# A* + B* -> 2B*  rate = k2
reaction A B -> B B 1.0

# B* + * -> 2* + B(g)  rate = k3
reaction B * -> * * 0.1

stats 0.01
run 100.0
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.625 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU
   9.36026      48251          0          0      0.114
    9.3701      48296          0          0      0.115
   9.38008      48336          0          0      0.115
    9.3907      48366          0          0      0.115
   9.40033      48393          0          0      0.115
   9.41001      48430          0          0      0.115
   9.42242      48468          0          0      0.115
   9.43014      48491          0          0      0.115
   9.44053      48535          0          0      0.115
    9.4505      48569          0          0      0.115
    9.4601      48593          0          0      0.115
   9.47011      48626          0          0      0.115
   9.48134      48667          0          0      0.115
   9.49012      48701          0          0      0.116
   9.50044      48736          0          0      0.116
   9.51023      48773          0          0      0.116
   9.52011      48802          0          0      0.116
   9.53053      48832          0          0      0.116
   9.54029      48863          0          0      0.116
   9.55016      48896          0          0      0.116
    9.5601      48936          0          0      0.116
   9.57037      48962          0          0      0.116
   9.58039      48992          0          0      0.116
    9.5901      49037          0          0      0.116
   9.60006      49079          0          0      0.116
    9.6101      49105          0          0      0.116
    9.6201      49142          0          0      0.117
   9.63041      49168          0          0      0.117
   9.64047      49205          0          0      0.117
   9.65016      49232          0          0      0.117
   9.66011      49259          0          0      0.117
   9.67023      49293          0          0      0.117
   9.68016      49335          0          0      0.117
    9.6901      49366          0          0      0.117
   9.70031      49398          0          0      0.117
   9.71133      49428          0          0      0.117
   9.72003      49461          0          0      0.117
   9.73003      49502          0          0      0.117
   9.74008      49541          0          0      0.117
   9.75014      49576          0          0      0.118
   9.76086      49612          0          0      0.118
   9.77012      49640          0          0      0.118
   9.78008      49674          0          0      0.118
   9.79009      49711          0          0      0.118
   9.80005      49747          0          0      0.118
   9.81061      49780          0          0      0.118
   9.82009      49810          0          0      0.118
   9.83027      49854          0          0      0.118
   9.84022      49884          0          0      0.118
    9.8502      49928          0          0      0.118
   9.86003      49962          0          0      0.118
   9.87006      49997          0          0      0.119
   9.88082      50037          0          0      0.119
   9.89071      50073          0          0      0.119
   9.90019      50108          0          0      0.119
   9.91004      50151          0          0      0.119
   9.92014      50185          0          0      0.119
    9.9302      50226          0          0      0.119
   9.94059      50261          0          0      0.119
   9.95035      50302          0          0      0.119
   9.96001      50338          0          0      0.119
   9.97045      50376          0          0      0.119
   9.98034      50403          0          0      0.119
   9.99014      50440          0          0       0.12
        10      50479          0          0       0.12
   10.0102      50519          0          0       0.12
   10.0201      50551          0          0       0.12
   10.0309      50584          0          0       0.12
   10.0401      50605          0          0       0.12
   10.0507      50640          0          0       0.12
   10.0607      50669          0          0       0.12
   10.0702      50702          0          0       0.12
   10.0803      50729          0          0       0.12
   10.0901      50764          0          0       0.12
      10.1      50806          0          0       0.12
   10.1104      50843          0          0      0.121
     10.12      50886          0          0      0.121
   10.1303      50921          0          0      0.121
   10.1404      50953          0          0      0.121
   10.1501      50980          0          0      0.121
     10.16      51012          0          0      0.121
   10.1702      51037          0          0      0.121
     10.18      51064          0          0      0.121
   10.1903      51091          0          0      0.121
   10.2002      51137          0          0      0.121
   10.2105      51172          0          0      0.121
   10.2203      51211          0          0      0.121
   10.2302      51244          0          0      0.121
   10.2404      51271          0          0      0.122
   10.2505      51305          0          0      0.122
   10.2601      51338          0          0      0.122
   10.2702      51380          0          0      0.122
   10.2803      51412          0          0      0.122
   10.2918      51445          0          0      0.122
   10.3008      51472          0          0      0.122
     10.31      51499          0          0      0.122
   10.3204      51535          0          0      0.122
   10.3301      51569          0          0      0.122
   10.3405      51607          0          0      0.122
   10.3505      51637          0          0      0.122
   10.3602      51669          0          0      0.123
     10.37      51706          0          0      0.123
   10.3802      51732          0          0      0.123
     10.39      51758          0          0      0.123
   10.4001      51789          0          0      0.123
     10.41      51816          0          0      0.123
     10.42      51844          0          0      0.123
   10.4301      51890          0          0      0.123
     10.44      51915          0          0      0.123
   10.4502      51948          0          0      0.123
   10.4603      51980          0          0      0.123
   10.4704      52026          0          0      0.123
     10.48      52060          0          0      0.123
   10.4905      52091          0          0      0.123
   10.5002      52131          0          0      0.124
   10.5101      52163          0          0      0.124
   10.5206      52193          0          0      0.124
   10.5301      52229          0          0      0.124
   10.5401      52262          0          0      0.124
   10.5502      52295          0          0      0.124
   10.5613      52329          0          0      0.124
   10.5701      52363          0          0      0.124
   10.5801      52398          0          0      0.124
     10.59      52430          0          0      0.124
   10.6006      52454          0          0      0.124
   10.6102      52484          0          0      0.124
     10.62      52517          0          0      0.124
     10.63      52554          0          0      0.125
   10.6402      52582          0          0      0.125
   10.6502      52611          0          0      0.125
     10.66      52654          0          0      0.125
   10.6707      52683          0          0      0.125
   10.6804      52704          0          0      0.125
   10.6902      52734          0          0      0.125
      10.7      52769          0          0      0.125
   10.7101      52809          0          0      0.125
   10.7203      52844          0          0      0.125
   10.7304      52870          0          0      0.125
   10.7408      52903          0          0      0.125
   10.7504      52933          0          0      0.125
     10.76      52964          0          0      0.126
   10.7702      52997          0          0      0.126
   10.7807      53025          0          0      0.126
   10.7904      53051          0          0      0.126
   10.8002      53089          0          0      0.126
   10.8102      53120          0          0      0.126
   10.8208      53152          0          0      0.126
   10.8308      53176          0          0      0.126
     10.84      53213          0          0      0.126
   10.8504      53240          0          0      0.126
   10.8601      53270          0          0      0.126
   10.8703      53293          0          0      0.126
   10.8802      53325          0          0      0.126
   10.8904      53356          0          0      0.126
   10.9004      53388          0          0      0.127
   10.9103      53423          0          0      0.127
   10.9201      53453          0          0      0.127
   10.9304      53490          0          0      0.127
   10.9408      53515          0          0      0.127
   10.9507      53548          0          0      0.127
   10.9607      53580          0          0      0.127
   10.9703      53602          0          0      0.127
     10.98      53642          0          0      0.127
   10.9903      53681          0          0      0.127
   11.0002      53713          0          0      0.127
   11.0102      53740          0          0      0.127
   11.0202      53773          0          0      0.127
   11.0303      53803          0          0      0.128
     11.04      53830          0          0      0.128
   11.0501      53865          0          0      0.128
   11.0604      53898          0          0      0.128
   11.0711      53930          0          0      0.128
     11.08      53969          0          0      0.128
   11.0901      54012          0          0      0.128
   11.1001      54052          0          0      0.128
     11.11      54080          0          0      0.128
   11.1201      54106          0          0      0.128
   11.1301      54143          0          0      0.128
   11.1403      54182          0          0      0.128
   11.1503      54208          0          0      0.128
   11.1603      54240          0          0      0.129
   11.1701      54267          0          0      0.129
   11.1803      54305          0          0      0.129
   11.1902      54344          0          0      0.129
   11.2004      54380          0          0      0.129
   11.2102      54416          0          0      0.129
   11.2202      54447          0          0      0.129
   11.2304      54486          0          0      0.129
   11.2403      54508          0          0      0.129
   11.2504      54546          0          0      0.129
   11.2602      54582          0          0      0.129
   11.2704      54606          0          0      0.129
   11.2805      54632          0          0      0.129
   11.2901      54662          0          0       0.13
   11.3004      54691          0          0       0.13
   11.3101      54714          0          0       0.13
   11.3201      54745          0          0       0.13
   11.3302      54784          0          0       0.13
